x_val,y_val,z_val,tag
1.10797,12.7444,0.667553,1
1.25281,12.7821,0.64522,1
1.41967,12.5249,0.529565,1
1.62547,12.4308,0.424953,1
1.70881,12.5342,0.555822,1
1.91892,12.6043,0.386661,1
2.06026,12.6695,0.431832,1
2.21215,12.9589,0.673895,1
2.38183,12.9483,0.622498,1
2.57208,12.9537,0.544481,1
2.81889,13.0398,0.506151,1
2.99221,13.1171,0.634351,1
3.23143,13.1434,0.615437,1
3.45672,13.081,0.396991,1
3.76117,13.2007,0.492158,1
4.02198,13.2894,0.719442,1
4.23027,13.3564,0.805975,1
4.39219,13.4201,0.864957,1
4.59367,13.5386,1.05143,1
4.8369,13.5738,1.05543,1
4.9902,13.7191,1.15527,1
5.06706,13.7898,0.977277,1
5.14117,14.0176,1.12793,1
5.25131,14.2092,1.16356,1
5.19204,14.4718,1.24038,1
5.14399,14.6724,1.09222,1
5.19411,14.8929,0.972237,1
5.08403,15.2948,1.17231,1
5.12844,15.526,1.06804,1
5.26277,15.7422,1.27817,1
5.49566,15.8247,1.23915,1
5.82581,15.83,0.989392,1
6.13196,15.8475,0.869017,1
6.21194,15.9241,0.806794,1
6.58051,15.9314,1.06804,1
6.85852,15.9976,1.34486,1
7.11829,16.0122,1.85736,1
7.28143,15.8815,1.5372,1
7.40136,15.8308,1.45149,1
7.53997,15.732,1.44151,1
7.66471,15.5904,1.62261,1
7.81697,15.2964,2.00273,1
7.88788,14.9664,2.24013,1
7.90725,14.5645,1.89439,1
7.31092,12.8768,2.57223,1
6.98169,11.6548,2.99853,1
6.55354,10.5799,3.39404,1
6.19553,9.90665,3.47803,1
5.84297,9.53856,3.57004,1
5.49034,9.37678,3.56987,1
5.05833,9.37811,3.79183,1
4.79444,9.33442,3.74686,1
4.54565,9.33841,3.69387,1
4.32538,9.39242,2.66436,1
4.07653,9.46438,1.99819,1
3.82179,9.49244,1.65404,1
3.60269,9.61132,1.35629,1
3.37575,9.6557,1.43534,1
3.13898,9.70468,1.4831,1
2.91325,9.76367,1.48707,1
2.68004,9.82685,1.55852,1
2.46659,9.96206,1.46177,1
2.25845,10.1084,1.29562,1
2.06528,10.2239,1.22133,1
1.88522,10.3019,1.32895,1
1.73105,10.3844,1.43339,1
1.54017,10.5006,1.57584,1
1.44539,10.6406,1.55766,1
1.36537,10.8681,1.56548,1
1.39659,11.1177,1.26804,1
1.2961,11.162,0.912432,1
1.44693,11.5403,0.913594,1
1.57612,11.8642,0.908547,1
1.69006,12.116,0.748548,1
1.79154,12.3694,0.692784,1
1.95819,12.5789,0.572647,1
2.39889,13.2665,0.472897,1
2.54121,13.2404,0.153663,1
2.88864,13.247,-0.275606,1
2.88613,13.4022,-0.0199307,1
3.31994,13.4284,-0.373234,1
3.13154,13.7305,0.278186,1
3.4351,13.7819,0.35077,1
3.39103,13.8951,0.718538,1
3.70695,13.9093,0.910177,1
3.97224,13.8504,0.864462,1
4.26273,13.7913,0.863685,1
4.49976,13.7833,0.887732,1
4.70818,13.7944,0.872545,1
4.93066,13.9054,0.97003,1
5.19337,14.0089,1.11292,1
5.46421,13.987,1.05908,1
5.71215,13.9563,1.10157,1
6.18197,13.7813,0.953803,1
6.42049,13.6502,0.993014,1
6.64191,13.5674,1.00868,1
6.8137,13.5626,1.11001,1
7.02482,13.5346,1.22335,1
7.20764,13.5243,1.2323,1
7.37734,13.6504,1.41501,1
7.27501,13.8301,1.02406,1
7.46015,13.9079,1.23062,1
7.53564,14.0775,1.39303,1
7.5981,14.2609,1.51476,1
7.58343,14.8142,1.88055,1
7.60065,15.1753,2.17105,1
7.50658,15.426,2.34333,1
7.34858,15.6003,2.17505,1
7.16089,15.6105,1.66278,1
