x_val,y_val,z_val,tag
1.10797,12.7444,0.667553,10
1.2512,12.7817,0.645468,10
1.37708,12.5137,0.536089,10
1.57135,12.4756,0.443759,10
1.56707,12.6908,0.703076,10
1.84207,12.7214,0.321085,10
1.89103,12.7585,0.556393,10
2.0243,13.1837,0.919739,10
2.17832,12.8581,0.569175,10
2.34937,12.883,0.488018,10
2.59747,13.0343,0.507215,10
2.6571,13.082,0.772279,10
2.91363,13.0504,0.597796,10
3.07531,12.9202,0.236313,10
3.39177,13.2056,0.642421,10
3.54711,13.2357,0.933496,10
3.6606,13.2621,0.833265,10
3.7526,13.3082,0.844224,10
3.96482,13.4548,1.11258,10
4.20574,13.3962,0.92351,10
4.24276,13.6224,1.10392,10
4.24467,13.598,0.694254,10
4.32462,13.9312,1.16271,10
4.46764,14.0305,1.06756,10
4.2713,14.296,1.1688,10
4.2772,14.3792,0.832985,10
4.43837,14.5684,0.792438,10
4.20644,15.0564,1.27834,10
4.41699,15.0493,0.87733,10
4.61266,15.2072,1.36044,10
4.88023,15.151,1.06506,10
5.21205,15.1057,0.674565,10
5.4,15.164,0.74195,10
5.22487,15.3071,0.764106,10
5.80782,15.2596,1.28343,10
5.91825,15.3881,1.47527,10
6.09806,15.359,2.06758,10
6.13313,15.1299,0.954238,10
6.20012,15.1977,1.17141,10
6.34672,15.0894,1.26356,10
6.44639,14.9541,1.59863,10
6.60725,14.5956,2.07064,10
6.59396,14.3364,2.07776,10
6.57817,13.9841,1.22788,10
5.53923,11.452,2.8124,10
5.63613,11.1301,2.83307,10
5.25431,10.5278,3.07847,10
5.0878,10.4338,2.82539,10
4.84365,10.4169,2.93312,10
4.58473,10.4217,2.87051,10
4.18096,10.4925,3.29283,10
4.15323,10.319,3.00047,10
3.96321,10.294,2.98379,10
3.80418,10.3188,1.26411,10
3.56452,10.3323,1.23999,10
3.34699,10.2604,1.36114,10
3.19909,10.4055,1.18711,10
2.99881,10.3286,1.61195,10
2.79058,10.3483,1.56811,10
2.61332,10.3862,1.48673,10
2.41142,10.4242,1.57995,10
2.25266,10.587,1.31112,10
2.08205,10.6934,1.10978,10
1.93236,10.7373,1.14737,10
1.79008,10.7535,1.40147,10
1.67979,10.8213,1.4508,10
1.47823,10.9445,1.57391,10
1.48653,11.0732,1.38003,10
1.41684,11.3301,1.41207,10
1.52768,11.5322,0.883506,10
1.28983,11.354,0.586124,10
1.64022,11.9889,0.971556,10
1.68157,12.164,0.947454,10
1.72484,12.2755,0.656646,10
1.77011,12.4747,0.720318,10
1.94828,12.5984,0.557306,10
2.5388,13.6082,0.499646,10
2.31207,12.8477,0.0354713,10
2.77882,12.9312,-0.382375,10
2.4152,13.2399,0.514552,10
3.20128,13.1523,-0.40997,10
2.42248,13.6841,1.09197,10
3.18655,13.4728,0.486267,10
2.80293,13.6433,1.0393,10
3.42669,13.5729,0.974264,10
3.56803,13.4797,0.693307,10
3.80941,13.4631,0.756868,10
3.93437,13.5311,0.813926,10
4.07113,13.5717,0.771947,10
4.26602,13.7626,0.968302,10
4.51659,13.8301,1.11948,10
4.73785,13.6869,0.876852,10
4.91132,13.6669,1.01986,10
5.49972,13.403,0.723997,10
5.44221,13.3712,0.961272,10
5.61156,13.3712,0.949929,10
5.71534,13.45,1.11207,10
5.94079,13.4004,1.20215,10
6.0716,13.407,1.09795,10
6.20853,13.6335,1.41437,10
5.8823,13.8055,0.537766,10
6.35431,13.7434,1.33484,10
6.31442,13.9586,1.39672,10
6.3675,14.1008,1.43314,10
6.29867,14.8782,1.94649,10
6.36724,14.9193,2.06495,10
6.20262,14.9863,2.06489,10
6.04411,15.0498,1.60494,10
5.89916,14.913,0.917464,10
5.68511,15.0687,1.1182,10
5.81695,14.965,1.23653,10
5.7832,14.9538,1.32396,10
5.57128,15.0545,2.06481,10
5.15027,14.9132,0.656549,10
4.91181,14.9942,0.823386,10
4.72445,15.1049,1.08452,10
4.52353,15.1026,1.04888,10
4.38906,15.0482,0.625187,10
4.20557,15.1869,0.602628,10
